model,logo,perturbation,level,correct
gemini,ExxonMobil,Noise,2,True
gemini,ExxonMobil,Noise,3,True
gemini,ExxonMobil,Noise,4,True
gemini,Facebook,Noise,1,True
gemini,Facebook,Noise,2,True
gemini,Facebook,Noise,3,True
gemini,Facebook,Noise,4,True
gemini,FedEx,Noise,1,True
gemini,FedEx,Noise,2,True
gemini,FedEx,Noise,3,True
gemini,FedEx,Noise,4,True
gemini,Google,Noise,1,True
gemini,Google,Noise,2,True
gemini,Google,Noise,3,True
gemini,Google,Noise,4,True
gemini,JPMorganChase,Noise,2,True
gemini,JPMorganChase,Noise,4,True
gemini,Kroger,Noise,4,True
gemini,Mastercard,Noise,3,True
gemini,Microsoft,Noise,1,True
gemini,Microsoft,Noise,2,True
gemini,Microsoft,Noise,3,True
gemini,Microsoft,Noise,4,True
gemini,Nurel Group,Noise,1,True
gemini,Nurel Group,Noise,2,True
gemini,Nurel Group,Noise,3,True
gemini,Nurel Group,Noise,4,True
gemini,P&G,Noise,1,True
gemini,P&G,Noise,2,True
gemini,P&G,Noise,3,True
gemini,P&G,Noise,4,True
gemini,PAGO,Noise,1,True
gemini,PAGO,Noise,2,True
gemini,PAGO,Noise,3,True
gemini,PAGO,Noise,4,True
gemini,PayPal,Noise,1,True
gemini,PayPal,Noise,2,True
gemini,PayPal,Noise,3,True
gemini,PayPal,Noise,4,True
gemini,State Farm,Noise,1,True
gemini,State Farm,Noise,2,True
gemini,State Farm,Noise,3,True
gemini,State Farm,Noise,4,True
gemini,The Home Depot,Noise,1,True
gemini,The Home Depot,Noise,2,True
gemini,The Home Depot,Noise,3,True
gemini,The Home Depot,Noise,4,True
gemini,Costco,Noise,3,True
gemini,DHL,Noise,1,True
gemini,DHL,Noise,3,True
gemini,Discover,Noise,1,True
gemini,Discover,Noise,3,True
gemini,ExxonMobil,Noise,1,True
gemini,JPMorganChase,Noise,3,True
gemini,Kroger,Noise,2,True
gemini,Mastercard,Noise,1,True
gemini,McDonalds,Noise,1,True
gemini,Wells Fargo,Noise,1,True
gemini,Wells Fargo,Noise,2,True
gemini,Wells Fargo,Noise,3,True
gemini,Wells Fargo,Noise,4,True
gemini,AT&T,Noise,1,True
gemini,AT&T,Noise,2,True
gemini,AT&T,Noise,3,True
gemini,AT&T,Noise,4,True
gemini,Amazon,Noise,1,True
gemini,Amazon,Noise,2,True
gemini,Amazon,Noise,3,True
gemini,Amazon,Noise,4,True
gemini,American Express,Noise,1,True
gemini,American Express,Noise,2,True
gemini,American Express,Noise,3,True
gemini,American Express,Noise,4,True
gemini,Apple,Noise,1,True
gemini,Apple,Noise,2,True
gemini,Apple,Noise,3,True
gemini,Apple,Noise,4,True
gemini,Bank of America,Noise,1,True
gemini,Bank of America,Noise,2,True
gemini,Bank of America,Noise,3,True
gemini,Bank of America,Noise,4,True
gemini,Bitcoin,Noise,1,True
gemini,Bitcoin,Noise,2,True
gemini,Bitcoin,Noise,3,True
gemini,Bitcoin,Noise,4,True
gemini,Blue Style,Noise,1,True
gemini,Blue Style,Noise,2,True
gemini,Blue Style,Noise,3,True
gemini,Blue Style,Noise,4,True
gemini,Capital One,Noise,1,True
gemini,Capital One,Noise,2,True
gemini,Capital One,Noise,3,True
gemini,Capital One,Noise,4,True
gemini,Chase,Noise,1,True
gemini,Chase,Noise,2,True
gemini,Chase,Noise,3,True
gemini,Chase,Noise,4,True
gemini,Costco,Noise,1,True
gemini,Costco,Noise,2,True
gemini,Costco,Noise,4,True
gemini,DHL,Noise,2,True
gemini,DHL,Noise,4,True
gemini,Discover,Noise,2,True
gemini,Discover,Noise,4,True
gemini,JPMorganChase,Noise,1,True
gemini,Kroger,Noise,1,True
gemini,Kroger,Noise,3,True
gemini,Mastercard,Noise,2,True
gemini,Mastercard,Noise,4,True
gemini,McDonalds,Noise,2,True
gemini,McDonalds,Noise,3,True
gemini,McDonalds,Noise,4,True
gemini,McKesson,Noise,1,True
gemini,McKesson,Noise,2,True
gemini,McKesson,Noise,3,True
gemini,McKesson,Noise,4,True
gemini,Nike,Noise,1,True
gemini,Nike,Noise,2,True
gemini,Nike,Noise,3,True
gemini,Nike,Noise,4,True
gemini,Regions,Noise,1,True
gemini,Regions,Noise,2,True
gemini,Regions,Noise,3,True
gemini,Regions,Noise,4,True
gemini,SunTrust,Noise,1,True
gemini,SunTrust,Noise,2,True
gemini,SunTrust,Noise,3,True
gemini,SunTrust,Noise,4,True
gemini,Target,Noise,1,True
gemini,Target,Noise,2,True
gemini,Target,Noise,3,True
gemini,Target,Noise,4,True
gemini,UPS,Noise,1,True
gemini,UPS,Noise,2,True
gemini,UPS,Noise,3,True
gemini,UPS,Noise,4,True
gemini,United Healthcare,Noise,1,True
gemini,United Healthcare,Noise,2,True
gemini,United Healthcare,Noise,3,True
gemini,United Healthcare,Noise,4,True
gemini,VISA,Noise,1,True
gemini,VISA,Noise,2,True
gemini,VISA,Noise,3,True
gemini,VISA,Noise,4,True
gemini,WeChat,Noise,1,True
gemini,WeChat,Noise,2,True
gemini,WeChat,Noise,3,True
gemini,WeChat,Noise,4,True
gpt,ExxonMobil,Noise,2,True
gpt,ExxonMobil,Noise,3,True
gpt,ExxonMobil,Noise,4,True
gpt,Facebook,Noise,1,True
gpt,Facebook,Noise,2,True
gpt,Facebook,Noise,3,True
gpt,Facebook,Noise,4,True
gpt,FedEx,Noise,1,True
gpt,FedEx,Noise,2,True
gpt,FedEx,Noise,3,True
gpt,FedEx,Noise,4,True
gpt,Google,Noise,1,True
gpt,Google,Noise,2,True
gpt,Google,Noise,3,True
gpt,Google,Noise,4,True
gpt,JPMorganChase,Noise,2,True
gpt,JPMorganChase,Noise,4,True
gpt,Kroger,Noise,4,True
gpt,Mastercard,Noise,3,True
gpt,Microsoft,Noise,1,True
gpt,Microsoft,Noise,2,True
gpt,Microsoft,Noise,3,True
gpt,Microsoft,Noise,4,True
gpt,Nurel Group,Noise,1,True
gpt,Nurel Group,Noise,2,True
gpt,Nurel Group,Noise,3,True
gpt,Nurel Group,Noise,4,True
gpt,P&G,Noise,1,True
gpt,P&G,Noise,2,True
gpt,P&G,Noise,3,True
gpt,P&G,Noise,4,True
gpt,PAGO,Noise,1,True
gpt,PAGO,Noise,2,True
gpt,PAGO,Noise,3,True
gpt,PAGO,Noise,4,True
gpt,PayPal,Noise,1,True
gpt,PayPal,Noise,2,True
gpt,PayPal,Noise,3,True
gpt,PayPal,Noise,4,True
gpt,State Farm,Noise,1,True
gpt,State Farm,Noise,2,True
gpt,State Farm,Noise,3,True
gpt,State Farm,Noise,4,True
gpt,The Home Depot,Noise,1,True
gpt,The Home Depot,Noise,2,True
gpt,The Home Depot,Noise,3,True
gpt,The Home Depot,Noise,4,True
gpt,Costco,Noise,3,True
gpt,DHL,Noise,1,True
gpt,DHL,Noise,3,True
gpt,Discover,Noise,1,True
gpt,Discover,Noise,3,True
gpt,ExxonMobil,Noise,1,True
gpt,JPMorganChase,Noise,3,True
gpt,Kroger,Noise,2,True
gpt,Mastercard,Noise,1,True
gpt,McDonalds,Noise,1,True
gpt,Wells Fargo,Noise,1,True
gpt,Wells Fargo,Noise,2,True
gpt,Wells Fargo,Noise,3,True
gpt,Wells Fargo,Noise,4,True
gpt,AT&T,Noise,1,True
gpt,AT&T,Noise,2,True
gpt,AT&T,Noise,3,True
gpt,AT&T,Noise,4,True
gpt,Amazon,Noise,1,True
gpt,Amazon,Noise,2,True
gpt,Amazon,Noise,3,True
gpt,Amazon,Noise,4,True
gpt,American Express,Noise,1,True
gpt,American Express,Noise,2,True
gpt,American Express,Noise,3,True
gpt,American Express,Noise,4,True
gpt,Apple,Noise,1,True
gpt,Apple,Noise,2,True
gpt,Apple,Noise,3,True
gpt,Apple,Noise,4,True
gpt,Bank of America,Noise,1,True
gpt,Bank of America,Noise,2,True
gpt,Bank of America,Noise,3,True
gpt,Bank of America,Noise,4,True
gpt,Bitcoin,Noise,1,True
gpt,Bitcoin,Noise,2,True
gpt,Bitcoin,Noise,3,True
gpt,Bitcoin,Noise,4,True
gpt,Blue Style,Noise,1,True
gpt,Blue Style,Noise,2,True
gpt,Blue Style,Noise,3,True
gpt,Blue Style,Noise,4,True
gpt,Capital One,Noise,1,True
gpt,Capital One,Noise,2,True
gpt,Capital One,Noise,3,True
gpt,Capital One,Noise,4,True
gpt,Chase,Noise,1,True
gpt,Chase,Noise,2,True
gpt,Chase,Noise,3,True
gpt,Chase,Noise,4,True
gpt,Costco,Noise,1,True
gpt,Costco,Noise,2,True
gpt,Costco,Noise,4,True
gpt,DHL,Noise,2,True
gpt,DHL,Noise,4,True
gpt,Discover,Noise,2,True
gpt,Discover,Noise,4,True
gpt,JPMorganChase,Noise,1,True
gpt,Kroger,Noise,1,True
gpt,Kroger,Noise,3,True
gpt,Mastercard,Noise,2,True
gpt,Mastercard,Noise,4,True
gpt,McDonalds,Noise,2,True
gpt,McDonalds,Noise,3,True
gpt,McDonalds,Noise,4,True
gpt,McKesson,Noise,1,True
gpt,McKesson,Noise,2,True
gpt,McKesson,Noise,3,True
gpt,McKesson,Noise,4,True
gpt,Nike,Noise,1,True
gpt,Nike,Noise,2,True
gpt,Nike,Noise,3,True
gpt,Nike,Noise,4,True
gpt,Regions,Noise,1,True
gpt,Regions,Noise,2,True
gpt,Regions,Noise,3,True
gpt,Regions,Noise,4,True
gpt,SunTrust,Noise,1,True
gpt,SunTrust,Noise,2,True
gpt,SunTrust,Noise,3,True
gpt,SunTrust,Noise,4,True
gpt,Target,Noise,1,True
gpt,Target,Noise,2,True
gpt,Target,Noise,3,True
gpt,Target,Noise,4,True
gpt,UPS,Noise,1,True
gpt,UPS,Noise,2,True
