Timestamp,age_group,background,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23
11/29/2024 17:25:59,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11/29/2024 17:27:26,18 - 34,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Normal,Unusual
11/29/2024 17:27:45,18 - 34,Little to no background,Normal,Unusual,Normal,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11/29/2024 17:29:46,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Normal,Normal,Normal
11/29/2024 17:32:52,18 - 34,General interest or basic knowledge of concepts,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Normal
11/29/2024 17:33:52,18 - 34,General interest or basic knowledge of concepts,Unusual,Normal,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal
11/29/2024 17:36:44,18 - 34,Little to no background,Normal,Normal,Unusual,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 17:37:50,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11/29/2024 17:39:21,35 - 54,Little to no background,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11/29/2024 17:39:43,18 - 34,Little to no background,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Unusual,Unusual,Unusual,Normal,Normal,Unusual
11/29/2024 17:42:06,18 - 34,Little to no background,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Unusual,Unusual,Normal,Unusual,Unusual,Normal,Normal
11/29/2024 17:46:17,18 - 34,"Completed coursework, training, or certification",Normal,Normal,Unusual,Normal,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Normal
11/29/2024 17:59:28,18 - 34,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
11/29/2024 18:18:50,18 - 34,Little to no background,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Normal
11/29/2024 18:22:17,Under 18,Little to no background,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Normal,Normal,Unusual,Unusual,Unusual,Unusual,Unusual,Normal,Normal
11/29/2024 18:28:23,Under 18,General interest or basic knowledge of concepts,Normal,Normal,Unusual,Unusual,Unusual,Normal,Unusual,Normal,Unusual,Unusual,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Unusual,Normal
11/29/2024 18:30:51,18 - 34,Little to no background,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Unusual,Normal,Normal,Normal,Normal,Normal,Normal,Unusual,Normal,Normal,Unusual,Unusual,Normal,Unusual
